Transaction_ID,Timestamp,District,Payment_Method,Order_Value_AED,RTO_Flag,Distance_KM,Temperature_C,Is_Ramadan,Delivery_Cost_AED
TXN_000043,2026-03-15 14:00:00,Dubai Marina,Credit_Card,135.94,0,35,40,1,27.5
TXN_000044,2026-01-03 19:00:00,Dubai Hills,COD,121.09,0,23,39,0,21.5
TXN_000045,2026-05-16 23:00:00,Dubai Marina,COD,117.93,0,12,34,0,16.0
TXN_000046,2026-04-16 11:00:00,Al Barsha,COD,383.51,0,19,45,0,19.5
TXN_000047,2026-01-06 13:00:00,Dubai Marina,Tabby_BNPL,456.72,0,6,35,0,13.0
TXN_000048,2026-04-11 21:00:00,Al Barsha,Credit_Card,628.38,0,15,48,0,17.5
TXN_000049,2026-05-19 21:00:00,International City,COD,76.44,0,15,25,0,17.5
TXN_000050,2026-03-18 18:00:00,JVC,Tabby_BNPL,105.88,0,31,37,1,25.5
TXN_000051,2026-03-12 14:00:00,International City,COD,1167.82,0,25,34,1,22.5
TXN_000052,2026-02-17 14:00:00,International City,Credit_Card,50.72,1,32,47,0,41.0
TXN_000053,2026-05-27 12:00:00,Al Barsha,ApplePay,233.56,0,23,28,0,21.5
TXN_000054,2026-04-09 08:00:00,JVC,ApplePay,65.52,1,12,30,0,31.0
TXN_000055,2026-05-07 04:00:00,Al Barsha,Credit_Card,366.51,0,7,41,0,13.5
TXN_000056,2026-03-09 11:00:00,Dubai Marina,Tabby_BNPL,1729.77,0,6,30,1,13.0
TXN_000057,2026-05-03 18:00:00,Dubai Marina,Tabby_BNPL,236.63,0,9,22,0,14.5
TXN_000058,2026-01-16 15:00:00,Dubai Hills,Credit_Card,189.63,0,18,45,0,19.0
TXN_000059,2026-02-17 17:00:00,International City,COD,375.3,0,24,44,0,22.0
TXN_000060,2026-03-06 06:00:00,Dubai Hills,Credit_Card,385.91,0,10,29,1,15.0
TXN_000061,2026-05-15 10:00:00,Business Bay,ApplePay,323.07,0,32,22,0,26.0
TXN_000062,2026-02-08 14:00:00,Al Barsha,COD,315.66,0,22,42,0,21.0
TXN_000063,2026-03-06 15:00:00,International City,COD,80.55,0,6,25,1,13.0
TXN_000064,2026-01-22 19:00:00,Dubai Hills,Tabby_BNPL,1835.5,0,14,33,0,17.0
TXN_000065,2026-02-27 19:00:00,Business Bay,Credit_Card,354.2,1,5,28,1,27.5
TXN_000066,2026-05-11 02:00:00,Business Bay,Aani_Instant,130.46,0,5,29,0,12.5
TXN_000067,2026-02-13 09:00:00,Al Barsha,Aani_Instant,775.79,0,26,31,0,23.0
TXN_000068,2026-02-24 19:00:00,JVC,ApplePay,105.25,0,15,48,1,17.5
TXN_000069,2026-05-17 02:00:00,Dubai Marina,COD,175.23,0,11,33,0,15.5
TXN_000070,2026-05-15 23:00:00,Dubai Marina,Credit_Card,279.1,0,27,47,0,23.5
TXN_000071,2026-02-14 09:00:00,International City,COD,188.07,0,18,28,0,19.0
TXN_000072,2026-04-04 01:00:00,Dubai Hills,Credit_Card,260.93,0,15,24,0,17.5
TXN_000073,2026-01-19 20:00:00,Business Bay,Aani_Instant,239.43,0,24,45,0,22.0
TXN_000074,2026-04-17 10:00:00,International City,COD,143.37,1,6,38,0,28.0
TXN_000075,2026-01-28 01:00:00,JVC,ApplePay,417.21,0,35,35,0,27.5
TXN_000076,2026-01-15 05:00:00,International City,Aani_Instant,83.98,1,35,45,0,42.5
TXN_000077,2026-01-26 07:00:00,Business Bay,Tabby_BNPL,104.54,0,24,22,0,22.0
TXN_000078,2026-05-07 17:00:00,Al Barsha,COD,563.48,0,28,45,0,24.0
TXN_000079,2026-01-10 14:00:00,Dubai Marina,ApplePay,467.6,0,5,31,0,12.5
TXN_000080,2026-05-24 22:00:00,International City,Aani_Instant,148.24,0,21,37,0,20.5
TXN_000081,2026-02-27 07:00:00,JVC,Credit_Card,630.73,0,21,32,1,20.5
TXN_000082,2026-05-30 10:00:00,International City,Aani_Instant,454.33,0,30,45,0,25.0
TXN_000083,2026-01-30 16:00:00,JVC,COD,791.4,0,9,46,0,14.5
TXN_000084,2026-02-25 03:00:00,Dubai Marina,COD,150.03,1,32,32,1,41.0
TXN_000085,2026-04-21 13:00:00,International City,COD,105.18,1,22,48,0,36.0
TXN_000086,2026-01-16 01:00:00,Dubai Marina,Credit_Card,129.37,0,33,44,0,26.5
TXN_000087,2026-03-03 22:00:00,Al Barsha,ApplePay,567.08,0,10,32,1,15.0
TXN_000088,2026-04-03 03:00:00,Business Bay,COD,624.49,0,21,44,0,20.5
TXN_000089,2026-02-04 17:00:00,Al Barsha,COD,79.45,0,7,40,0,13.5
TXN_000090,2026-01-05 18:00:00,Dubai Marina,Aani_Instant,323.04,0,35,46,0,27.5
TXN_000091,2026-05-26 20:00:00,Al Barsha,COD,1047.65,0,10,40,0,15.0
TXN_000092,2026-05-13 14:00:00,Al Barsha,COD,427.65,0,8,40,0,14.0
TXN_000093,2026-02-22 17:00:00,Al Barsha,COD,68.06,0,6,44,1,13.0
TXN_000094,2026-03-20 13:00:00,International City,COD,325.36,0,10,42,0,15.0
TXN_000095,2026-05-17 10:00:00,Dubai Marina,Tabby_BNPL,1150.38,0,27,36,0,23.5
TXN_000096,2026-05-17 05:00:00,Dubai Hills,COD,827.89,0,29,38,0,24.5
TXN_000097,2026-02-22 18:00:00,Dubai Hills,Credit_Card,334.46,0,20,31,1,20.0
TXN_000098,2026-04-11 03:00:00,JVC,Credit_Card,713.82,0,6,35,0,13.0
TXN_000099,2026-02-09 16:00:00,Al Barsha,ApplePay,117.92,0,20,23,0,20.0
TXN_000100,2026-05-20 03:00:00,JVC,Aani_Instant,857.04,0,22,27,0,21.0
TXN_000101,2026-02-11 12:00:00,Business Bay,COD,158.6,0,28,25,0,24.0
TXN_000102,2026-03-16 07:00:00,International City,ApplePay,857.68,0,10,34,1,15.0
TXN_000103,2026-02-07 00:00:00,International City,Tabby_BNPL,220.29,0,8,31,0,14.0
TXN_000104,2026-02-23 03:00:00,JVC,Credit_Card,167.39,1,18,24,1,34.0
TXN_000105,2026-01-16 07:00:00,Business Bay,Tabby_BNPL,358.2,0,15,45,0,17.5
TXN_000106,2026-03-08 06:00:00,Business Bay,Aani_Instant,354.99,0,32,45,1,26.0
TXN_000107,2026-02-03 17:00:00,Dubai Hills,Aani_Instant,376.26,0,19,33,0,19.5
TXN_000108,2026-05-16 20:00:00,International City,ApplePay,322.51,0,8,26,0,14.0
TXN_000109,2026-03-27 20:00:00,JVC,COD,239.86,0,7,38,0,13.5
TXN_000110,2026-05-13 12:00:00,Al Barsha,Credit_Card,801.12,1,35,43,0,42.5
TXN_000111,2026-03-15 14:00:00,JVC,ApplePay,401.0,0,15,25,1,17.5
TXN_000112,2026-04-30 15:00:00,Business Bay,Tabby_BNPL,216.17,1,9,39,0,29.5
TXN_000113,2026-05-24 03:00:00,Business Bay,ApplePay,416.53,0,12,46,0,16.0
TXN_000114,2026-02-10 06:00:00,JVC,Tabby_BNPL,930.23,0,35,24,0,27.5
TXN_000115,2026-02-21 15:00:00,Al Barsha,Aani_Instant,67.31,0,21,23,1,20.5
TXN_000116,2026-05-10 09:00:00,Dubai Marina,ApplePay,202.81,0,23,48,0,21.5
TXN_000117,2026-02-13 18:00:00,Al Barsha,Tabby_BNPL,100.48,0,8,32,0,14.0
TXN_000118,2026-04-16 01:00:00,Al Barsha,COD,867.89,0,8,25,0,14.0
TXN_000119,2026-01-27 14:00:00,Dubai Marina,Tabby_BNPL,407.16,0,23,37,0,21.5
TXN_000120,2026-02-20 18:00:00,International City,Aani_Instant,408.1,0,20,30,1,20.0
TXN_000121,2026-01-02 09:00:00,Al Barsha,Aani_Instant,311.67,0,24,48,0,22.0
TXN_000122,2026-03-26 15:00:00,Business Bay,Tabby_BNPL,71.43,1,25,35,0,37.5
TXN_000123,2026-01-22 05:00:00,International City,COD,930.06,1,11,48,0,30.5
TXN_000124,2026-02-25 11:00:00,Business Bay,COD,704.15,1,9,25,1,29.5
TXN_000125,2026-01-05 06:00:00,Dubai Marina,COD,620.52,0,33,26,0,26.5
TXN_000126,2026-03-11 15:00:00,Business Bay,Aani_Instant,135.51,0,22,26,1,21.0
TXN_000127,2026-01-28 17:00:00,Dubai Marina,Credit_Card,174.26,0,30,30,0,25.0
TXN_000128,2026-01-24 10:00:00,Dubai Hills,ApplePay,238.41,0,32,22,0,26.0
TXN_000129,2026-03-13 21:00:00,Dubai Hills,Tabby_BNPL,1333.39,0,29,35,1,24.5
TXN_000130,2026-02-20 09:00:00,Business Bay,ApplePay,111.89,1,9,22,1,29.5
TXN_000131,2026-01-11 23:00:00,Business Bay,Aani_Instant,248.54,0,34,40,0,27.0
TXN_000132,2026-03-13 19:00:00,Al Barsha,COD,503.42,0,24,31,1,22.0
TXN_000133,2026-05-05 20:00:00,JVC,COD,513.8,0,14,25,0,17.0
TXN_000134,2026-04-22 00:00:00,Al Barsha,ApplePay,307.91,0,11,36,0,15.5
TXN_000135,2026-03-29 09:00:00,JVC,Credit_Card,253.2,0,24,31,0,22.0
TXN_000136,2026-04-25 15:00:00,Business Bay,COD,389.26,0,29,48,0,24.5
TXN_000137,2026-02-03 07:00:00,International City,COD,154.87,0,24,39,0,22.0
TXN_000138,2026-03-10 10:00:00,JVC,ApplePay,110.3,0,22,27,1,21.0
TXN_000139,2026-03-30 10:00:00,JVC,Aani_Instant,150.91,0,33,45,0,26.5
TXN_000140,2026-05-09 16:00:00,International City,COD,391.95,0,19,23,0,19.5
TXN_000141,2026-02-20 10:00:00,JVC,Credit_Card,155.39,0,9,41,1,14.5
TXN_000142,2026-04-29 05:00:00,Dubai Marina,ApplePay,129.16,0,6,45,0,13.0
TXN_000143,2026-03-04 19:00:00,JVC,COD,103.5,1,5,31,1,27.5
TXN_000144,2026-01-19 11:00:00,JVC,Credit_Card,590.72,0,28,47,0,24.0
TXN_000145,2026-01-22 14:00:00,International City,Credit_Card,112.16,1,27,43,0,38.5
TXN_000146,2026-01-31 18:00:00,International City,ApplePay,324.5,0,25,41,0,22.5
TXN_000147,2026-04-20 09:00:00,Dubai Marina,Credit_Card,576.21,0,5,23,0,12.5
TXN_000148,2026-03-28 03:00:00,Al Barsha,Tabby_BNPL,364.27,0,6,33,0,13.0
TXN_000149,2026-03-19 20:00:00,Dubai Marina,COD,355.08,0,15,40,1,17.5
TXN_000150,2026-01-14 03:00:00,Al Barsha,Tabby_BNPL,571.64,0,24,35,0,22.0
TXN_000151,2026-05-02 05:00:00,Al Barsha,COD,104.6,1,13,41,0,31.5
TXN_000152,2026-05-23 16:00:00,Dubai Marina,Aani_Instant,1256.67,0,15,45,0,17.5
TXN_000153,2026-03-11 04:00:00,Business Bay,COD,87.94,0,9,45,1,14.5
TXN_000154,2026-04-17 16:00:00,Al Barsha,Tabby_BNPL,432.59,0,28,48,0,24.0
TXN_000155,2026-02-12 07:00:00,Dubai Hills,COD,477.22,0,29,27,0,24.5
TXN_000156,2026-04-26 23:00:00,Al Barsha,Credit_Card,467.72,0,14,42,0,17.0
TXN_000157,2026-02-12 18:00:00,Dubai Marina,Tabby_BNPL,275.17,0,19,29,0,19.5
TXN_000158,2026-05-29 01:00:00,JVC,ApplePay,857.38,0,18,25,0,19.0
TXN_000159,2026-01-29 04:00:00,International City,COD,85.95,1,13,28,0,31.5
TXN_000160,2026-05-20 15:00:00,Business Bay,COD,109.02,0,26,38,0,23.0
TXN_000161,2026-05-28 01:00:00,Dubai Marina,Tabby_BNPL,89.74,0,10,24,0,15.0
TXN_000162,2026-02-24 06:00:00,Al Barsha,Tabby_BNPL,212.22,0,17,48,1,18.5
TXN_000163,2026-03-21 14:00:00,Business Bay,COD,1082.32,0,26,45,0,23.0
TXN_000164,2026-02-11 16:00:00,Dubai Hills,ApplePay,439.31,0,7,23,0,13.5
TXN_000165,2026-05-28 14:00:00,Business Bay,Aani_Instant,167.95,0,22,22,0,21.0
TXN_000166,2026-05-24 07:00:00,Dubai Marina,ApplePay,640.11,0,6,44,0,13.0
TXN_000167,2026-03-24 15:00:00,JVC,COD,97.19,1,13,26,0,31.5
TXN_000168,2026-03-15 11:00:00,Al Barsha,COD,663.52,0,12,25,1,16.0
TXN_000169,2026-01-29 01:00:00,Dubai Marina,ApplePay,286.27,0,8,42,0,14.0
TXN_000170,2026-04-09 07:00:00,Business Bay,Tabby_BNPL,175.94,0,15,35,0,17.5
TXN_000171,2026-02-25 18:00:00,Business Bay,COD,396.56,0,34,42,1,27.0
TXN_000172,2026-03-15 19:00:00,Al Barsha,COD,1179.93,1,28,31,1,39.0
TXN_000173,2026-03-08 16:00:00,Dubai Marina,COD,101.89,0,17,45,1,18.5
TXN_000174,2026-01-09 05:00:00,JVC,ApplePay,155.52,0,28,28,0,24.0
TXN_000175,2026-03-02 03:00:00,Al Barsha,COD,688.84,1,30,38,1,40.0
TXN_000176,2026-02-11 02:00:00,JVC,ApplePay,668.02,0,22,42,0,21.0
TXN_000177,2026-05-04 12:00:00,Dubai Marina,Tabby_BNPL,402.73,1,10,44,0,30.0
TXN_000178,2026-05-05 03:00:00,Business Bay,Tabby_BNPL,1098.95,0,26,39,0,23.0
TXN_000179,2026-05-08 15:00:00,International City,COD,99.05,0,15,41,0,17.5
TXN_000180,2026-04-11 13:00:00,Business Bay,Aani_Instant,111.09,0,19,41,0,19.5
TXN_000181,2026-04-27 20:00:00,International City,COD,148.78,0,33,38,0,26.5
TXN_000182,2026-04-15 02:00:00,Business Bay,Credit_Card,83.23,0,33,31,0,26.5
TXN_000183,2026-04-21 11:00:00,JVC,COD,526.86,0,10,23,0,15.0
TXN_000184,2026-04-21 15:00:00,JVC,Credit_Card,1486.63,0,8,25,0,14.0
TXN_000185,2026-02-04 09:00:00,Al Barsha,ApplePay,81.76,0,28,31,0,24.0
TXN_000186,2026-05-10 05:00:00,Business Bay,Aani_Instant,51.0,0,29,35,0,24.5
TXN_000187,2026-03-09 06:00:00,JVC,Tabby_BNPL,135.24,0,34,45,1,27.0
TXN_000188,2026-05-13 22:00:00,Business Bay,Credit_Card,1489.6,0,17,34,0,18.5
TXN_000189,2026-04-26 22:00:00,Business Bay,Tabby_BNPL,366.86,0,6,29,0,13.0
TXN_000190,2026-03-03 23:00:00,Dubai Hills,Aani_Instant,625.1,0,30,37,1,25.0
TXN_000191,2026-03-25 01:00:00,Business Bay,COD,120.5,0,6,40,0,13.0
TXN_000192,2026-02-06 06:00:00,Business Bay,ApplePay,85.18,0,8,29,0,14.0
TXN_000193,2026-05-22 11:00:00,Dubai Hills,Aani_Instant,57.5,0,7,36,0,13.5
TXN_000194,2026-03-05 23:00:00,International City,COD,981.42,0,13,24,1,16.5
TXN_000195,2026-03-31 22:00:00,Dubai Marina,Credit_Card,247.99,0,23,37,0,21.5
TXN_000196,2026-05-23 05:00:00,Dubai Hills,ApplePay,70.53,0,27,38,0,23.5
TXN_000197,2026-03-27 10:00:00,International City,COD,116.8,1,20,28,0,35.0
TXN_000198,2026-01-19 21:00:00,JVC,ApplePay,122.38,0,32,25,0,26.0
TXN_000199,2026-03-06 17:00:00,Al Barsha,Tabby_BNPL,58.0,0,20,39,1,20.0
TXN_000200,2026-05-18 03:00:00,Business Bay,Aani_Instant,142.84,0,26,34,0,23.0
TXN_000201,2026-03-21 07:00:00,Business Bay,Aani_Instant,571.77,0,31,47,0,25.5
TXN_000202,2026-04-30 10:00:00,Business Bay,ApplePay,58.74,0,20,23,0,20.0
TXN_000203,2026-01-02 03:00:00,JVC,ApplePay,112.37,1,24,34,0,37.0
TXN_000204,2026-03-20 11:00:00,Dubai Marina,ApplePay,61.83,0,11,42,0,15.5
TXN_000205,2026-05-26 04:00:00,JVC,ApplePay,741.74,0,24,48,0,22.0
TXN_000206,2026-01-03 18:00:00,JVC,Credit_Card,598.86,0,6,39,0,13.0
TXN_000207,2026-01-25 14:00:00,Dubai Hills,ApplePay,113.57,0,35,26,0,27.5
TXN_000208,2026-03-07 21:00:00,JVC,COD,529.68,0,24,31,1,22.0
TXN_000209,2026-01-22 01:00:00,Al Barsha,Tabby_BNPL,658.34,0,16,27,0,18.0
TXN_000210,2026-03-16 23:00:00,JVC,COD,325.57,0,17,35,1,18.5
TXN_000211,2026-04-01 04:00:00,International City,ApplePay,322.6,0,28,28,0,24.0
TXN_000212,2026-03-19 00:00:00,Al Barsha,ApplePay,276.61,0,8,37,1,14.0
TXN_000213,2026-03-04 09:00:00,Dubai Marina,Credit_Card,125.04,0,10,29,1,15.0
TXN_000214,2026-01-04 05:00:00,International City,COD,77.82,0,15,37,0,17.5
TXN_000215,2026-05-03 12:00:00,JVC,Credit_Card,228.14,0,29,47,0,24.5
TXN_000216,2026-03-05 09:00:00,Al Barsha,ApplePay,213.3,0,35,23,1,27.5
TXN_000217,2026-02-11 00:00:00,JVC,COD,225.59,0,13,28,0,16.5
TXN_000218,2026-04-13 00:00:00,Dubai Marina,ApplePay,73.43,0,16,37,0,18.0
TXN_000219,2026-01-13 09:00:00,Dubai Hills,Credit_Card,148.62,0,18,30,0,19.0
TXN_000220,2026-04-23 06:00:00,Dubai Marina,Aani_Instant,118.54,0,10,43,0,15.0
TXN_000221,2026-04-21 20:00:00,Dubai Marina,Credit_Card,691.74,0,16,34,0,18.0
TXN_000222,2026-01-18 11:00:00,Dubai Marina,Tabby_BNPL,463.38,0,25,32,0,22.5
TXN_000223,2026-05-29 14:00:00,Business Bay,Aani_Instant,384.19,0,35,30,0,27.5
TXN_000224,2026-02-27 15:00:00,Dubai Marina,ApplePay,132.04,0,27,35,1,23.5
TXN_000225,2026-04-13 23:00:00,Al Barsha,ApplePay,104.21,0,23,32,0,21.5
TXN_000226,2026-02-02 23:00:00,JVC,COD,184.72,0,32,28,0,26.0
TXN_000227,2026-03-07 03:00:00,JVC,COD,445.42,0,30,39,1,25.0
TXN_000228,2026-05-12 06:00:00,Dubai Marina,Aani_Instant,296.95,0,23,47,0,21.5
TXN_000229,2026-03-04 22:00:00,Business Bay,Credit_Card,289.96,1,23,46,1,36.5
TXN_000230,2026-03-09 11:00:00,International City,COD,431.98,1,12,29,1,31.0
TXN_000231,2026-04-19 22:00:00,Dubai Marina,COD,70.51,0,9,28,0,14.5
TXN_000232,2026-04-06 23:00:00,JVC,COD,112.34,1,35,47,0,42.5
TXN_000233,2026-02-22 05:00:00,Dubai Marina,Aani_Instant,337.14,1,15,41,1,32.5
TXN_000234,2026-04-18 11:00:00,Al Barsha,Aani_Instant,234.45,0,8,42,0,14.0
TXN_000235,2026-04-05 02:00:00,International City,Tabby_BNPL,283.54,0,25,37,0,22.5
TXN_000236,2026-01-27 17:00:00,International City,Tabby_BNPL,53.83,0,20,22,0,20.0
TXN_000237,2026-01-30 18:00:00,Dubai Marina,COD,250.14,1,13,48,0,31.5
TXN_000238,2026-05-02 08:00:00,Dubai Marina,Aani_Instant,264.55,0,21,36,0,20.5
TXN_000239,2026-02-12 21:00:00,International City,COD,389.23,1,23,22,0,36.5
TXN_000240,2026-04-30 09:00:00,Dubai Marina,Credit_Card,328.93,0,29,33,0,24.5
TXN_000241,2026-01-15 17:00:00,Dubai Marina,Tabby_BNPL,131.22,0,33,47,0,26.5
TXN_000242,2026-05-15 16:00:00,Dubai Hills,Credit_Card,537.25,0,19,31,0,19.5
TXN_000243,2026-01-16 16:00:00,JVC,COD,309.38,0,7,25,0,13.5
TXN_000244,2026-05-23 06:00:00,Business Bay,COD,321.8,1,9,48,0,29.5
TXN_000245,2026-04-13 06:00:00,Al Barsha,Aani_Instant,174.68,0,18,39,0,19.0
TXN_000246,2026-01-11 02:00:00,Dubai Marina,Tabby_BNPL,172.96,0,34,45,0,27.0
TXN_000247,2026-01-07 22:00:00,Al Barsha,Credit_Card,519.28,0,18,31,0,19.0
TXN_000248,2026-04-24 20:00:00,JVC,COD,72.24,1,21,30,0,35.5
TXN_000249,2026-02-22 11:00:00,JVC,COD,1090.97,0,21,37,1,20.5
TXN_000250,2026-01-01 19:00:00,Business Bay,Credit_Card,152.03,0,22,44,0,21.0
TXN_000251,2026-02-16 19:00:00,Al Barsha,COD,114.95,0,5,38,0,12.5
TXN_000252,2026-01-08 12:00:00,JVC,Aani_Instant,399.41,0,16,35,0,18.0
TXN_000253,2026-03-14 19:00:00,Dubai Marina,ApplePay,463.41,0,12,28,1,16.0
TXN_000254,2026-01-08 05:00:00,International City,COD,610.65,1,5,39,0,27.5
TXN_000255,2026-04-30 23:00:00,International City,ApplePay,168.36,0,5,25,0,12.5
TXN_000256,2026-04-19 22:00:00,JVC,COD,219.21,0,6,45,0,13.0
TXN_000257,2026-01-26 07:00:00,Dubai Hills,Tabby_BNPL,551.61,0,17,39,0,18.5
TXN_000258,2026-05-27 17:00:00,JVC,Aani_Instant,201.45,0,21,42,0,20.5
TXN_000259,2026-03-12 19:00:00,International City,COD,563.79,0,19,34,1,19.5
TXN_000260,2026-01-02 20:00:00,JVC,Credit_Card,323.56,1,11,41,0,30.5
TXN_000261,2026-03-10 23:00:00,International City,Tabby_BNPL,2656.8,0,13,40,1,16.5
TXN_000262,2026-03-29 09:00:00,Dubai Marina,Tabby_BNPL,103.17,0,14,32,0,17.0
TXN_000263,2026-03-02 22:00:00,JVC,COD,665.34,1,20,22,1,35.0
TXN_000264,2026-04-30 23:00:00,Dubai Marina,ApplePay,174.17,0,5,32,0,12.5
TXN_000265,2026-03-16 09:00:00,Al Barsha,Credit_Card,63.45,0,14,48,1,17.0
TXN_000266,2026-05-27 11:00:00,Dubai Marina,Aani_Instant,170.76,0,33,44,0,26.5
TXN_000267,2026-02-02 09:00:00,Dubai Marina,ApplePay,273.46,0,23,34,0,21.5
TXN_000268,2026-02-12 08:00:00,Dubai Marina,ApplePay,209.24,1,18,47,0,34.0
TXN_000269,2026-03-02 16:00:00,Al Barsha,Tabby_BNPL,235.08,0,23,39,1,21.5
TXN_000270,2026-03-17 05:00:00,Dubai Hills,Aani_Instant,491.24,0,21,48,1,20.5
TXN_000271,2026-04-19 23:00:00,Dubai Hills,ApplePay,353.23,0,30,28,0,25.0
TXN_000272,2026-02-22 17:00:00,Al Barsha,Credit_Card,208.33,0,18,42,1,19.0
TXN_000273,2026-01-03 07:00:00,International City,COD,301.05,0,27,31,0,23.5
TXN_000274,2026-04-10 02:00:00,Dubai Hills,Aani_Instant,98.23,0,24,37,0,22.0
TXN_000275,2026-02-11 04:00:00,Al Barsha,ApplePay,267.5,0,35,34,0,27.5
TXN_000276,2026-03-09 03:00:00,Al Barsha,ApplePay,122.9,1,22,48,1,36.0
TXN_000277,2026-03-23 05:00:00,Dubai Hills,Tabby_BNPL,819.5,0,14,44,0,17.0
TXN_000278,2026-02-07 07:00:00,International City,Tabby_BNPL,57.05,0,12,48,0,16.0
TXN_000279,2026-02-04 09:00:00,Al Barsha,Tabby_BNPL,785.01,0,17,23,0,18.5
TXN_000280,2026-03-28 11:00:00,International City,COD,196.38,0,13,34,0,16.5
TXN_000281,2026-04-28 17:00:00,Dubai Marina,Aani_Instant,129.02,0,16,33,0,18.0
TXN_000282,2026-05-07 20:00:00,JVC,Credit_Card,322.74,0,32,29,0,26.0
TXN_000283,2026-01-02 15:00:00,Al Barsha,COD,222.98,1,34,23,0,42.0
TXN_000284,2026-04-26 17:00:00,Dubai Marina,COD,1005.31,1,10,30,0,30.0
TXN_000285,2026-04-30 21:00:00,Dubai Hills,ApplePay,80.26,0,9,38,0,14.5
TXN_000286,2026-01-17 16:00:00,Business Bay,ApplePay,190.76,0,9,39,0,14.5
